,game,model,experiment,episode,metric,value
0,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_0,Precision,
1,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_0,Recall,
2,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_0,F1,
3,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_0,Main Score,
4,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_0,Average Changed Cell Count,
5,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_0,Average Generated Instruction Length,
6,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_0,Average Generated Expression Number of Tokens,
7,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_0,Success,0.0
8,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_0,Lose,0.0
9,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_0,Aborted,1.0
10,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_0,Request Count,9.0
11,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_0,Violated Request Count,1.0
12,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_0,Parsed Request Count,8.0
13,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_0,Request Success Ratio,0.8889
14,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_1,Precision,
15,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_1,Recall,
16,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_1,F1,
17,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_1,Main Score,
18,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_1,Average Changed Cell Count,
19,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_1,Average Generated Instruction Length,
20,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_1,Average Generated Expression Number of Tokens,
21,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_1,Success,0.0
22,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_1,Lose,0.0
